topic cluster	importances
citizen AND posting AND tooeverybody AND happy AND brandon AND detroit AND tiger AND true AND ill AND forgive AND anything AND cruel AND ever AND site AND treatment AND xa0am AND disgusted	0.0
tories AND another AND canada AND elections AND replacing AND steve AND one AND tory AND typical AND dean AND mean AND law AND campaign AND 2011 AND theres AND everyone AND elsenbig AND hacks	0.0
focused AND international AND trainers AND way AND transference AND attention AND part AND thisncountry AND neil AND want AND profit AND focus AND public AND commitment AND ofnwrongdoing AND generation AND agenda AND racing AND ground AND others AND caught AND deadbeats AND conform AND youvencome AND whatnthe AND become AND present AND responsibility AND family AND violations AND done AND winning AND satisfy AND lack AND press AND support AND admit AND younto AND countrynndoug AND thencenter AND tonthemselves AND sports AND crown AND general AND tonsomething AND whonwant AND far AND u201ctrueu201dnfans AND younlive AND yesnyou AND attack AND personal AND faulty AND triple AND outward AND around	0.0
theo AND u0111u1ec3 AND chu1ec9nh AND khi AND thu1ec3 AND chu1ea5t AND vxec AND lxfd AND phu1ea3i AND nxean AND con AND thu1ecbt AND nu01b0u1edbc AND cuu1ed9c AND chxednh AND u0111u1ea3ng AND u0111u1ebfn AND tham AND nhxecn AND cxe1i AND quyu1ec1n AND u0111u1ea7u AND phu1ed1i AND txf4i AND ra AND tru1ecb AND u0111xf3 AND trong AND nuxf4i AND u0111u1ed9ng AND chu1ea5n AND gxec AND nam AND ru1ed3i AND triu1ebft AND xfd AND soxe1t AND tru1eebng AND u0111u1ed1i AND vxe0i AND bu1edfi AND cu1edd AND chu1ec9 AND mu1ed7i AND xxe3 AND cxe1 AND ngu01b0u1eddi AND u0111u1ec1u AND mu1ed9t AND ban AND cu0169ng AND viu1ec7c AND nhu1eefng AND viu1ec7t AND bu1ecb AND tiu1ebfp AND txednh AND u0111iu1ec3m AND cu1ea5p AND nxe0o AND vu1ea5n AND u0111u01b0u1ee3c AND chu1ed1ng AND cu1ef1c AND cxf3 AND mu1ecdi AND thanh AND u0111u1ee9ng AND cho AND tixeau AND vxe0 AND lxe0m AND u1ea3nh AND bxf9 AND khxf4ng AND cu01a1n AND sau AND trxean AND tu01b0u1ee3ng AND hou1eb7c AND tu1ee9c AND thu1ebb AND gxe0 AND chu1ebft AND nxf3 AND cu1ea7n AND thu1ebf AND xe9p AND su1ea3y AND tu1ed5 AND cu1ea7nn AND su1ebd AND lxe0 AND thu1ef1c AND nhu01b0ng AND u0111u1ec1 AND muu1ed1n AND quyu1ebft AND vu1eefng AND chu1ee9c AND vixean AND quan AND u1edf	0.0
kind AND cities AND two AND case AND class AND three AND get	0.0
